"Something went wrong while saving the file(s).","Something went wrong while saving the file(s).",module,Ibapi_Multiv
"'Something went wrong while saving the file(s).' .","'Something went wrong while saving the file(s).' .",module,Ibapi_Multiv
"Vip  Discount","Vip  Discount",module,Ibapi_Multiv
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log.",module,Ibapi_Multiv
"Bucket does not exist","Bucket does not exist",module,Ibapi_Multiv
"Object with id ""%1"" does not exist.","Object with id ""%1"" does not exist.",module,Ibapi_Multiv
Subtotal2,Subtotal2,module,Ibapi_Multiv
"Invalid configuration","Invalid configuration",module,Ibapi_Multiv
"We can't find the product.","We can't find the product.",module,Ibapi_Multiv
"Can't add products for 2 dates.","Can't add products for 2 dates.",module,Ibapi_Multiv
"Not logged in.","Not logged in.",module,Ibapi_Multiv
"Cannot add","Cannot add",module,Ibapi_Multiv
"Cannot be added again.","Cannot be added again.",module,Ibapi_Multiv
"Invalid options","Invalid options",module,Ibapi_Multiv
"Cannot add.","Cannot add.",module,Ibapi_Multiv
Edit,Edit,module,Ibapi_Multiv
"Enter Order and or payment status","Enter Order and or payment status",module,Ibapi_Multiv
Submit,Submit,module,Ibapi_Multiv
Reset,Reset,module,Ibapi_Multiv
Ship,Ship,module,Ibapi_Multiv
Received,Received,module,Ibapi_Multiv
"Do you want to mark received ?","Do you want to mark received ?",module,Ibapi_Multiv
"Full Refund","Full Refund",module,Ibapi_Multiv
Refund,Refund,module,Ibapi_Multiv
"Full Refund ?","Full Refund ?",module,Ibapi_Multiv
"Partial Refund","Partial Refund",module,Ibapi_Multiv
"Partial Refund ?","Partial Refund ?",module,Ibapi_Multiv
"Deposit Take","Deposit Take",module,Ibapi_Multiv
Deposit,Deposit,module,Ibapi_Multiv
"Void Deposit?","Void Deposit?",module,Ibapi_Multiv
SKU,SKU,module,Ibapi_Multiv
Ordered,Ordered,module,Ibapi_Multiv
Invoiced,Invoiced,module,Ibapi_Multiv
Shipped,Shipped,module,Ibapi_Multiv
Refunded,Refunded,module,Ibapi_Multiv
Canceled,Canceled,module,Ibapi_Multiv
N/A,N/A,module,Ibapi_Multiv
"Devenez Premium et obtenez","Devenez Premium et obtenez",module,Ibapi_Multiv
"de réduction immédiatement.","de réduction immédiatement.",module,Ibapi_Multiv
"Devenir VIP Premium","Devenir VIP Premium",module,Ibapi_Multiv
"Apply Discount Code","Apply Discount Code",module,Ibapi_Multiv
"Enter discount code","Enter discount code",module,Ibapi_Multiv
"Apply Discount","Apply Discount",module,Ibapi_Multiv
"Cancel Coupon","Cancel Coupon",module,Ibapi_Multiv
"Shopping Cart Items","Shopping Cart Items",module,Ibapi_Multiv
Item,Item,module,Ibapi_Multiv
Price,Price,module,Ibapi_Multiv
Qty,Qty,module,Ibapi_Multiv
Subtotal,Subtotal,module,Ibapi_Multiv
"Continue Shopping","Continue Shopping",module,Ibapi_Multiv
"Clear Shopping Cart","Clear Shopping Cart",module,Ibapi_Multiv
"Update Shopping Cart","Update Shopping Cart",module,Ibapi_Multiv
"Update Cart","Update Cart",module,Ibapi_Multiv
"See price before order confirmation.","See price before order confirmation.",module,Ibapi_Multiv
"What's this?","What's this?",module,Ibapi_Multiv
Rent,Rent,module,Ibapi_Multiv
Date,Date,module,Ibapi_Multiv
To,To,module,Ibapi_Multiv
"My Cart","My Cart",module,Ibapi_Multiv
"You have no items in your shopping cart.","You have no items in your shopping cart.",module,Ibapi_Multiv
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping.",module,Ibapi_Multiv
"Estimate Tax","Estimate Tax",module,Ibapi_Multiv
"Estimate Shipping and Tax","Estimate Shipping and Tax",module,Ibapi_Multiv
Clear,Clear,module,Ibapi_Multiv
Apply,Apply,module,Ibapi_Multiv
Thu,Thu,module,Ibapi_Multiv
"Not available or blocked","Not available or blocked",module,Ibapi_Multiv
"Available for booking.","Available for booking.",module,Ibapi_Multiv
"Rental Period","Rental Period",module,Ibapi_Multiv
"4 Days","4 Days",module,Ibapi_Multiv
"8 Days","8 Days",module,Ibapi_Multiv
Close,Close,module,Ibapi_Multiv
"Start of your booking","Start of your booking",module,Ibapi_Multiv
"your booking.","your booking.",module,Ibapi_Multiv
"End of your booking.","End of your booking.",module,Ibapi_Multiv
"Durée de location :","Durée de location :",module,Ibapi_Multiv
"jours de location :","jours de location :",module,Ibapi_Multiv
Période,Période,module,Ibapi_Multiv
au,au,module,Ibapi_Multiv
"checkout not available for this product.","checkout not available for this product.",module,Ibapi_Multiv
"Gift Message","Gift Message",module,Ibapi_Multiv
From:,From:,module,Ibapi_Multiv
To:,To:,module,Ibapi_Multiv
Message:,Message:,module,Ibapi_Multiv
item,item,module,Ibapi_Multiv
items,items,module,Ibapi_Multiv
"Now Shopping by","Now Shopping by",module,Ibapi_Multiv
Previous,Previous,module,Ibapi_Multiv
Remove,Remove,module,Ibapi_Multiv
"Remove This Item","Remove This Item",module,Ibapi_Multiv
Category,Category,module,Ibapi_Multiv
"Shop By","Shop By",module,Ibapi_Multiv
"Price Range","Price Range",module,Ibapi_Multiv
Colors,Colors,module,Ibapi_Multiv
Brands,Brands,module,Ibapi_Multiv
Length,Length,module,Ibapi_Multiv
Size,Size,module,Ibapi_Multiv
"We can't find products matching the selection.","We can't find products matching the selection.",module,Ibapi_Multiv
"Add to Cart","Add to Cart",module,Ibapi_Multiv
"In stock","In stock",module,Ibapi_Multiv
"Out of stock","Out of stock",module,Ibapi_Multiv
"Learn More","Learn More",module,Ibapi_Multiv
Tailles,Tailles,module,Ibapi_Multiv
"Période de location","Période de location",module,Ibapi_Multiv
Taille:,Taille:,module,Ibapi_Multiv
Taille2:,Taille2:,module,Ibapi_Multiv
Essayage,Essayage,module,Ibapi_Multiv
"en boutique","en boutique",module,Ibapi_Multiv
caution,caution,module,Ibapi_Multiv
"(non encaissée)","(non encaissée)",module,Ibapi_Multiv
"Create New Product","Create New Product",module,Ibapi_Multiv
Products,Products,module,Ibapi_Multiv
Name,Name,module,Ibapi_Multiv
Status,Status,module,Ibapi_Multiv
Action,Action,module,Ibapi_Multiv
Actions,Actions,module,Ibapi_Multiv
"View Product","View Product",module,Ibapi_Multiv
"You have no products.","You have no products.",module,Ibapi_Multiv
"Grid Record","Grid Record",module,Ibapi_Multiv
"ID #","ID #",module,Ibapi_Multiv
Title,Title,module,Ibapi_Multiv
Start,Start,module,Ibapi_Multiv
End,End,module,Ibapi_Multiv
Earning,Earning,module,Ibapi_Multiv
"no reservationss.","no reservationss.",module,Ibapi_Multiv
"Product #","Product #",module,Ibapi_Multiv
Commission,Commission,module,Ibapi_Multiv
"reservation datas records not available.","reservation datas records not available.",module,Ibapi_Multiv
"Show Reviews","Show Reviews",module,Ibapi_Multiv
..,..,module,Ibapi_Multiv
"Write Your Own Review","Write Your Own Review",module,Ibapi_Multiv
"* Required Fields","* Required Fields",module,Ibapi_Multiv
"You're reviewing:","You're reviewing:",module,Ibapi_Multiv
"Your Rating","Your Rating",module,Ibapi_Multiv
"%1 %2","%1 %2",module,Ibapi_Multiv
Nickname,Nickname,module,Ibapi_Multiv
Summary,Summary,module,Ibapi_Multiv
Review,Review,module,Ibapi_Multiv
"Review Pic","Review Pic",module,Ibapi_Multiv
"Upload new Image","Upload new Image",module,Ibapi_Multiv
"Only jpg file less than 2MB","Only jpg file less than 2MB",module,Ibapi_Multiv
"Submit Review","Submit Review",module,Ibapi_Multiv
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>",module,Ibapi_Multiv
"Product Name","Product Name",module,Ibapi_Multiv
Quantity,Quantity,module,Ibapi_Multiv
"Discount Amount","Discount Amount",module,Ibapi_Multiv
"Row Total","Row Total",module,Ibapi_Multiv
"Qty Invoiced","Qty Invoiced",module,Ibapi_Multiv
"Qty Shipped","Qty Shipped",module,Ibapi_Multiv
"You can purchase in this range only:","You can purchase in this range only:",module,Ibapi_Multiv
"Subscribe to premium and get 15%","Subscribe to premium and get 15%",module,Ibapi_Multiv
"More informations","More informations",module,Ibapi_Multiv
"Cannot be used as guest.","Cannot be used as guest.",module,Ibapi_Pointpay
"Cannot be used as guest2.","Cannot be used as guest2.",module,Ibapi_Pointpay
"You can't use the payment type you selected .","You can't use the payment type you selected .",module,Ibapi_Pointpay
"Insufficient balance .","Insufficient balance .",module,Ibapi_Pointpay
"Invalid entry","Invalid entry",module,Ibapi_Pointpay
"Login successful.","Login successful.",module,Ibapi_Regq
"Invalid login or password.","Invalid login or password.",module,Ibapi_Regq
"Registration successful.","Registration successful.",module,Ibapi_Regq
"Username already exist. login to your account.","Username already exist. login to your account.",module,Ibapi_Regq
"Username exist.","Username exist.",module,Ibapi_Regq
"Registered and logged in.","Registered and logged in.",module,Ibapi_Regq
Close,Close,module,Ibapi_Regq
"Sign In","Sign In",module,Ibapi_Regq
"Email Address","Email Address",module,Ibapi_Regq
Password,Password,module,Ibapi_Regq
"Forgot Your Password?","Forgot Your Password?",module,Ibapi_Regq
"Créer un nouveau compte","Créer un nouveau compte",module,Ibapi_Regq
"Se connecter","Se connecter",module,Ibapi_Regq
Standard,Standard,module,Ibapi_Shipping
Express,Express,module,Ibapi_Shipping
"Express delivery within %1","Express delivery within %1",module,Ibapi_Shipping
"Standard delivery within %1","Standard delivery within %1",module,Ibapi_Shipping
Faq,Faq,module,Netbaseteam_Faq
"Add New Faq","Add New Faq",module,Netbaseteam_Faq
"Save FAQ","Save FAQ",module,Netbaseteam_Faq
"Save and Continue Edit","Save and Continue Edit",module,Netbaseteam_Faq
"Delete FAQ","Delete FAQ",module,Netbaseteam_Faq
"Edit FAQ '%1'","Edit FAQ '%1'",module,Netbaseteam_Faq
"New FAQ","New FAQ",module,Netbaseteam_Faq
Answer,Answer,module,Netbaseteam_Faq
"Author Information","Author Information",module,Netbaseteam_Faq
Name,Name,module,Netbaseteam_Faq
Email,Email,module,Netbaseteam_Faq
Author,Author,module,Netbaseteam_Faq
"Image Thumbnail","Image Thumbnail",module,Netbaseteam_Faq
Image,Image,module,Netbaseteam_Faq
"General Information","General Information",module,Netbaseteam_Faq
Question,Question,module,Netbaseteam_Faq
Status,Status,module,Netbaseteam_Faq
Pending,Pending,module,Netbaseteam_Faq
Enable,Enable,module,Netbaseteam_Faq
Disable,Disable,module,Netbaseteam_Faq
"Store Views","Store Views",module,Netbaseteam_Faq
"Tag Name","Tag Name",module,Netbaseteam_Faq
Comma-separated.,Comma-separated.,module,Netbaseteam_Faq
"Most FAQ","Most FAQ",module,Netbaseteam_Faq
Yes,Yes,module,Netbaseteam_Faq
No,No,module,Netbaseteam_Faq
"Sidebar Question","Sidebar Question",module,Netbaseteam_Faq
"Sort Order","Sort Order",module,Netbaseteam_Faq
"Created Date","Created Date",module,Netbaseteam_Faq
General,General,module,Netbaseteam_Faq
"Product ID","Product ID",module,Netbaseteam_Faq
Type,Type,module,Netbaseteam_Faq
Sku,Sku,module,Netbaseteam_Faq
Price,Price,module,Netbaseteam_Faq
"FAQ Information","FAQ Information",module,Netbaseteam_Faq
ID,ID,module,Netbaseteam_Faq
Title,Title,module,Netbaseteam_Faq
"Published On","Published On",module,Netbaseteam_Faq
Created,Created,module,Netbaseteam_Faq
Edit,Edit,module,Netbaseteam_Faq
"Save FAQ Category","Save FAQ Category",module,Netbaseteam_Faq
"Delete FAQ Category","Delete FAQ Category",module,Netbaseteam_Faq
"Edit FAQ Category '%1'","Edit FAQ Category '%1'",module,Netbaseteam_Faq
"New FAQ Category","New FAQ Category",module,Netbaseteam_Faq
"Category Title Option","Category Title Option",module,Netbaseteam_Faq
"Category Font Size","Category Font Size",module,Netbaseteam_Faq
"Unit: px","Unit: px",module,Netbaseteam_Faq
"Category Title Color","Category Title Color",module,Netbaseteam_Faq
"Question Options","Question Options",module,Netbaseteam_Faq
"Font Size","Font Size",module,Netbaseteam_Faq
"Text Color","Text Color",module,Netbaseteam_Faq
"Background Color","Background Color",module,Netbaseteam_Faq
"Border Color","Border Color",module,Netbaseteam_Faq
"Border Width","Border Width",module,Netbaseteam_Faq
"Question Active Option","Question Active Option",module,Netbaseteam_Faq
"Text Color(Active)","Text Color(Active)",module,Netbaseteam_Faq
"Background Color(Active)","Background Color(Active)",module,Netbaseteam_Faq
Design,Design,module,Netbaseteam_Faq
"FAQ ID","FAQ ID",module,Netbaseteam_Faq
"Category Name","Category Name",module,Netbaseteam_Faq
"Category Icon","Category Icon",module,Netbaseteam_Faq
